evento_id;_CarrierDelay;_WeatherDelay;_NASDelay
22491;545.0;3;2.00
22492;957.0;4;17.00
22493;1008.0;5;47.00
22494;1587.0;7;30.00
22495;991.0;4;8.00
22496;271.0;2;11.00
22497;120.0;1;48.00
22498;1941.0;8;11.00
22499;1919.0;8;35.00
22500;2475.0;10;179.00
22501;774.0;4;94.00
22502;271.0;2;29.00
22503;1124.0;5;65.00
22504;1069.0;5;79.00
22505;442.0;2;10.00
22506;223.0;1;7.00
22507;404.0;2;213.00
22508;2454.0;10;160.00
22509;549.0;3;15.00
22510;903.0;4;0.00
22511;1008.0;5;160.00
22512;1931.0;8;22.00
22513;950.0;4;28.00
22514;1020.0;5;74.00
22515;689.0;3;21.00
22516;192.0;1;76.00
22517;404.0;2;10.00
22518;733.0;3;101.00
22519;780.0;4;4.00
22520;577.0;3;7.00
22521;1481.0;6;3.00
22522;404.0;2;21.00
22523;712.0;3;93.00
22524;944.0;4;185.00
22525;223.0;1;10.00
22526;151.0;1;198.00
22527;214.0;1;21.00
22528;2092.0;9;38.00
22529;1076.0;5;53.00
22530;271.0;2;295.00
22531;1535.0;7;8.00
22532;534.0;3;49.00
22533;271.0;2;56.00
22534;859.0;4;30.00
22535;1185.0;5;6.00
22536;696.0;3;4.00
22537;214.0;1;51.00
22538;1269.0;6;19.00
22539;1269.0;6;22.00
22540;1590.0;7;8.00
22541;503.0;3;287.00
22542;689.0;3;35.00
22543;134.0;1;3.00
22544;134.0;1;11.00
22545;1747.0;7;6.00
22546;874.0;4;8.00
22547;192.0;1;80.00
22548;828.0;4;90.00
22549;1282.0;6;15.00
22550;1532.0;7;11.00
22551;1969.0;8;13.00
22552;680.0;3;40.00
22553;1481.0;6;4.00
22554;356.0;2;3.00
22555;448.0;2;25.00
22556;1250.0;6;9.00
22557;666.0;3;4.00
22558;577.0;3;10.00
22559;404.0;2;58.00
22560;1589.0;7;2.00
22561;813.0;4;54.00
22562;594.0;3;41.00
22563;532.0;3;19.00
22564;1035.0;5;29.00
22565;352.0;2;189.00
22566;666.0;3;14.00
22567;1416.0;6;16.00
22568;749.0;3;11.00
22569;689.0;3;10.00
22570;606.0;3;26.00
22571;1084.0;5;38.00
22572;746.0;3;12.00
22573;957.0;4;22.00
22574;1107.0;5;117.00
22575;134.0;1;32.00
22576;746.0;3;35.00
22577;502.0;3;12.00
22578;584.0;3;18.00
22579;1282.0;6;20.00
22580;1020.0;5;39.00
22581;1590.0;7;1.00
22582;606.0;3;45.00
22583;620.0;3;15.00
22584;406.0;2;386.00
22585;1927.0;8;14.00
22586;689.0;3;46.00
22587;707.0;3;69.00
22588;874.0;4;16.00
22589;2248.0;9;2.00
22590;226.0;1;98.00
22591;1029.0;5;20.00
22592;432.0;2;6.00
22593;1195.0;5;318.00
22594;352.0;2;18.00
22595;259.0;2;4.00
22596;134.0;1;136.00
22597;489.0;2;73.00
22598;689.0;3;60.00
22599;235.0;1;5.00
22600;1931.0;8;40.00
22601;547.0;3;33.00
22602;2218.0;9;20.00
22603;1184.0;5;21.00
22604;1005.0;5;7.00
22605;515.0;3;15.00
22606;2446.0;10;48.00
22607;503.0;3;49.00
22608;689.0;3;37.00
22609;1417.0;6;37.00
22610;907.0;4;39.00
22611;1363.0;6;5.00
22612;546.0;3;20.00
22613;2105.0;9;73.00
22614;946.0;4;84.00
22615;760.0;4;11.00
22616;689.0;3;9.00
22617;1035.0;5;6.00
22618;1416.0;6;8.00
22619;1770.0;8;83.00
22620;545.0;3;22.00
22621;757.0;4;2.00
22622;488.0;2;21.00
22623;151.0;1;163.00
22624;1182.0;5;29.00
22625;456.0;2;89.00
22626;1698.0;7;823.00
22627;2158.0;9;0.00
22628;794.0;4;1.00
22629;794.0;4;3.00
22630;1029.0;5;240.00
22631;134.0;1;1.00
22632;2422.0;10;26.00
22633;528.0;3;178.00
22634;235.0;1;13.00
22635;240.0;1;6.00
22636;516.0;3;0.00
22637;516.0;3;11.00
22638;516.0;3;42.00
22639;1670.0;7;35.00
22640;1931.0;8;26.00
22641;317.0;2;30.00
22642;1587.0;7;14.00
22643;1086.0;5;8.00
